Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii_Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
2,Super_Mario_Bros.,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
3,Mario_Kart_Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
4,Wii_Sports_Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33
5,Pokemon_Red/Pokemon_Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
7,New_Super_Mario_Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii_Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
9,New_Super_Mario_Bros._Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
10,Duck_Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76
12,Mario_Kart_DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
13,Pokemon_Gold/Pokemon_Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1
14,Wii_Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
15,Wii_Fit_Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22
16,Kinect_Adventures!,X360,2010,Misc,Microsoft_Game_Studios,14.97,4.94,0.24,1.67,21.82
17,Grand_Theft_Auto_V,PS3,2013,Action,Take-Two_Interactive,7.01,9.27,0.97,4.14,21.4
18,Grand_Theft_Auto:_San_Andreas,PS2,2004,Action,Take-Two_Interactive,9.43,0.4,0.41,10.57,20.81
19,Super_Mario_World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
20,Brain_Age:_Train_Your_Brain_in_Minutes_a_Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
21,Pokemon_Diamond/Pokemon_Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
22,Super_Mario_Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
23,Super_Mario_Bros._3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
24,Grand_Theft_Auto_V,X360,2013,Action,Take-Two_Interactive,9.63,5.31,0.06,1.38,16.38
25,Grand_Theft_Auto:_Vice_City,PS2,2002,Action,Take-Two_Interactive,8.41,5.49,0.47,1.78,16.15
26,Pokemon_Ruby/Pokemon_Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
27,Pokemon_Black/Pokemon_White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
28,Brain_Age_2:_More_Training_in_Minutes_a_Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
29,Gran_Turismo_3:_A-Spec,PS2,2001,Racing,Sony_Computer_Entertainment,6.85,5.09,1.87,1.16,14.98
30,Call_of_Duty:_Modern_Warfare_3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
31,Pokémon_Yellow:_Special_Pikachu_Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
32,Call_of_Duty:_Black_Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64
33,Pokemon_X/Pokemon_Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35
34,Call_of_Duty:_Black_Ops_3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
35,Call_of_Duty:_Black_Ops_II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
36,Call_of_Duty:_Black_Ops_II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73
37,Call_of_Duty:_Modern_Warfare_2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51
38,Call_of_Duty:_Modern_Warfare_3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
39,Grand_Theft_Auto_III,PS2,2001,Action,Take-Two_Interactive,6.99,4.51,0.3,1.3,13.1
40,Super_Smash_Bros._Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04
41,Call_of_Duty:_Black_Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
42,Animal_Crossing:_Wild_World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27
43,Mario_Kart_7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21
44,Halo_3,X360,2007,Shooter,Microsoft_Game_Studios,7.97,2.83,0.13,1.21,12.14
45,Grand_Theft_Auto_V,PS4,2014,Action,Take-Two_Interactive,3.8,5.81,0.36,2.02,11.98
46,Pokemon_HeartGold/Pokemon_SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9
47,Super_Mario_64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
48,Gran_Turismo_4,PS2,2004,Racing,Sony_Computer_Entertainment,3.01,0.01,1.1,7.53,11.66
49,Super_Mario_Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52
50,Pokemon_Omega_Ruby/Pokemon_Alpha_Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
51,Super_Mario_Land_2:_6_Golden_Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
52,Grand_Theft_Auto_IV,X360,2008,Action,Take-Two_Interactive,6.76,3.1,0.14,1.03,11.02
53,Gran_Turismo,PS,1997,Racing,Sony_Computer_Entertainment,4.02,3.87,2.54,0.52,10.95
54,Super_Mario_3D_Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79
55,Gran_Turismo_5,PS3,2010,Racing,Sony_Computer_Entertainment,2.96,4.88,0.81,2.12,10.77
56,Call_of_Duty:_Modern_Warfare_2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
57,Grand_Theft_Auto_IV,PS3,2008,Action,Take-Two_Interactive,4.76,3.76,0.44,1.62,10.57
58,Super_Mario_All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
59,Pokemon_FireRed/Pokemon_LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49
60,Super_Mario_64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42
61,Just_Dance_3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26
62,Call_of_Duty:_Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21
63,Halo:_Reach,X360,2010,Shooter,Microsoft_Game_Studios,7.03,1.98,0.08,0.78,9.88
64,Mario_Kart_64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
65,New_Super_Mario_Bros._2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82
66,Halo_4,X360,2012,Shooter,Microsoft_Game_Studios,6.63,2.36,0.04,0.73,9.76
67,Final_Fantasy_VII,PS,1997,Role-Playing,Sony_Computer_Entertainment,3.01,2.47,3.28,0.96,9.72
68,Call_of_Duty:_Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
69,Just_Dance_2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52
70,Gran_Turismo_2,PS,1999,Racing,Sony_Computer_Entertainment,3.88,3.42,1.69,0.5,9.49
71,Call_of_Duty_4:_Modern_Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32
72,Donkey_Kong_Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3
73,Minecraft,X360,2013,Misc,Microsoft_Game_Studios,5.58,2.83,0.02,0.77,9.2
74,Animal_Crossing:_New_Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09
75,Mario_Party_DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02
76,The_Elder_Scrolls_V:_Skyrim,X360,2011,Role-Playing,Bethesda_Softworks,5.03,2.86,0.1,0.85,8.84
77,Super_Mario_Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
78,FIFA_16,PS4,2015,Sports,Electronic_Arts,1.11,6.06,0.06,1.26,8.49
79,Wii_Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49
80,Halo_2,XB,2004,Shooter,Microsoft_Game_Studios,6.82,1.53,0.05,0.08,8.49
81,Mario_Party_8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42
82,Pokemon_Black_2/Pokemon_White_2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33
83,FIFA_Soccer_13,PS3,2012,Action,Electronic_Arts,1.06,5.05,0.13,2.01,8.24
84,The_Sims_3,PC,2009,Simulation,Electronic_Arts,0.98,6.42,0,0.71,8.11
85,GoldenEye_007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
86,Mario_&_Sonic_at_the_Olympic_Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06
87,Final_Fantasy_X,PS2,2001,Role-Playing,Sony_Computer_Entertainment,2.91,2.07,2.73,0.33,8.05
88,Final_Fantasy_VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
89,Pokémon_Platinum_Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
91,Grand_Theft_Auto:_Liberty_City_Stories,PSP,2005,Action,Take-Two_Interactive,2.9,2.83,0.24,1.75,7.72
92,Super_Mario_Galaxy_2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69
93,Star_Wars_Battlefront_(2015),PS4,2015,Shooter,Electronic_Arts,2.93,3.29,0.22,1.23,7.67
94,Call_of_Duty:_Advanced_Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
95,The_Legend_of_Zelda:_Ocarina_of_Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
96,Crash_Bandicoot_2:_Cortex_Strikes_Back,PS,1997,Platform,Sony_Computer_Entertainment,3.78,2.17,1.31,0.31,7.58
97,Super_Mario_Bros._2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
98,Super_Smash_Bros._for_Wii_U_and_3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
99,Call_of_Duty:_World_at_War,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37
100,Battlefield_3,X360,2011,Shooter,Electronic_Arts,4.46,2.13,0.06,0.69,7.34
101,The_Legend_of_Zelda:_Twilight_Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
102,Call_of_Duty:_Black_Ops_3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3
103,Just_Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27
104,Battlefield_3,PS3,2011,Shooter,Electronic_Arts,2.85,2.93,0.35,1.1,7.23
105,Need_for_Speed_Underground,PS2,2003,Racing,Electronic_Arts,3.27,2.83,0.08,1.02,7.2
106,Tekken_3,PS,1998,Fighting,Sony_Computer_Entertainment,3.27,2.22,1.4,0.29,7.16
107,Crash_Bandicoot_3:_Warped,PS,1998,Platform,Sony_Computer_Entertainment,3.68,1.75,1.42,0.28,7.13
108,Super_Smash_Bros._Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
109,Mario_Kart_8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
110,Fallout_4,PS4,2015,Role-Playing,Bethesda_Softworks,2.47,3.15,0.24,1.1,6.96
111,Mario_Kart:_Double_Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
112,Just_Dance_4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91
113,FIFA_14,PS3,2013,Sports,Electronic_Arts,0.78,4.32,0.07,1.73,6.9
114,Need_for_Speed_Underground_2,PS2,2004,Racing,Electronic_Arts,2.71,3.02,0.08,1.09,6.9
115,Medal_of_Honor:_Frontline,PS2,2002,Shooter,Electronic_Arts,2.93,2.75,0.17,0.99,6.83
116,Uncharted_3:_Drake's_Deception,PS3,2011,Action,Sony_Computer_Entertainment,2.77,2.8,0.19,1.06,6.83
117,Crash_Bandicoot,PS,1996,Platform,Sony_Computer_Entertainment,3.23,2.35,0.94,0.3,6.82
118,Zumba_Fitness,Wii,2010,Sports,505_Games,3.5,2.64,0,0.67,6.81
119,Gears_of_War_2,X360,2008,Shooter,Microsoft_Game_Studios,4.15,1.92,0.06,0.64,6.76
120,Uncharted_2:_Among_Thieves,PS3,2009,Action,Sony_Computer_Entertainment,3.27,2.25,0.21,1,6.73
121,Call_of_Duty_4:_Modern_Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
122,FIFA_12,PS3,2011,Sports,Electronic_Arts,0.84,4.32,0.11,1.42,6.69
123,Big_Brain_Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67
124,Red_Dead_Redemption,PS3,2010,Action,Take-Two_Interactive,2.79,2.61,0.17,1.03,6.6
125,FIFA_15,PS4,2014,Sports,Electronic_Arts,0.79,4.29,0.05,1.47,6.59
126,Donkey_Kong_Country_Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59
127,The_Elder_Scrolls_V:_Skyrim,PS3,2011,Role-Playing,Bethesda_Softworks,2.55,2.71,0.25,1.05,6.56
128,The_Legend_of_Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
129,Assassin's_Creed_III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
130,Halo:_Combat_Evolved,XB,2001,Shooter,Microsoft_Game_Studios,4.98,1.3,0.08,0.07,6.43
131,Pokémon_Emerald_Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
132,Kingdom_Hearts,PS2,2002,Role-Playing,Sony_Computer_Entertainment,3.64,1.2,1.49,0.07,6.4
133,Pokémon_Crystal_Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
134,Halo_3:_ODST,X360,2009,Shooter,Microsoft_Game_Studios,4.34,1.35,0.06,0.61,6.36
135,Red_Dead_Redemption,X360,2010,Action,Take-Two_Interactive,3.7,1.97,0.09,0.57,6.34
136,Super_Mario_Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
137,Street_Fighter_II:_The_World_Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
138,World_of_Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0,0,6.28
139,Driver,PS,1999,Action,GT_Interactive,3.11,2.8,0.02,0.33,6.27
140,Kinect_Sports,X360,2010,Sports,Microsoft_Game_Studios,3.92,1.78,0.03,0.51,6.24
141,Gears_of_War_3,X360,2011,Shooter,Microsoft_Game_Studios,4.05,1.62,0.07,0.49,6.24
142,Gears_of_War,X360,2006,Shooter,Microsoft_Game_Studios,3.54,1.9,0.07,0.6,6.11
143,Metal_Gear_Solid_2:_Sons_of_Liberty,PS2,2001,Action,Konami_Digital_Entertainment,2.45,2.01,0.87,0.72,6.05
144,Sonic_the_Hedgehog_2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
145,Metal_Gear_Solid_4:_Guns_of_the_Patriots,PS3,2008,Action,Konami_Digital_Entertainment,2.63,1.74,0.83,0.83,6.03
146,Metal_Gear_Solid,PS,1998,Action,Konami_Digital_Entertainment,3.18,1.83,0.78,0.24,6.03
147,The_Last_of_Us,PS3,2013,Action,Sony_Computer_Entertainment_Europe,2.41,2.28,0.28,1.01,5.99
148,Final_Fantasy_XII,PS2,2006,Role-Playing,Square_Enix,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,PS3,2008,Platform,Sony_Computer_Entertainment,2.8,2.05,0.17,0.9,5.92
150,Dragon_Quest_IX:_Sentinels_of_the_Starry_Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84
151,LEGO_Star_Wars:_The_Complete_Saga,Wii,2007,Action,LucasArts,3.66,1.63,0,0.53,5.83
152,Resident_Evil_2,PS,1998,Action,Virgin_Interactive,1.88,1.47,2.02,0.45,5.82
153,Tekken_2,PS,1996,Fighting,Sony_Computer_Entertainment,2.26,1.89,1.36,0.23,5.74
154,Cooking_Mama,DS,2006,Simulation,505_Games,3.13,1.94,0.07,0.58,5.72
155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
157,Assassin's_Creed_II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
158,Super_Smash_Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
159,Assassin's_Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
160,Batman:_Arkham_City,PS3,2011,Action,Warner_Bros._Interactive_Entertainment,2.7,1.91,0.11,0.8,5.53
161,Forza_Motorsport_3,X360,2009,Racing,Microsoft_Game_Studios,2.99,1.92,0.1,0.51,5.51
162,Monster_Hunter_Freedom_Unite,PSP,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
163,Super_Mario_Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
164,Mario_Kart:_Super_Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
165,Super_Mario_World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
166,Pokemon_Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
167,Call_of_Duty:_World_at_War,PS3,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
168,Crash_Bandicoot:_The_Wrath_of_Cortex,PS2,2001,Platform,Universal_Interactive,2.07,2.29,0.24,0.82,5.42
169,Minecraft,PS3,2014,Misc,Sony_Computer_Entertainment,1.97,2.51,0,0.94,5.42
170,Final_Fantasy_XIII,PS3,2009,Role-Playing,Square_Enix,1.74,1.24,1.87,0.52,5.36
171,Dr._Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
172,Pokemon_Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
173,Assassin's_Creed_III,X360,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
174,Final_Fantasy_IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
175,Final_Fantasy_X-2,PS2,2003,Role-Playing,Electronic_Arts,1.92,1.08,2.11,0.17,5.29
176,Donkey_Kong_64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
177,Assassin's_Creed_II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
178,Professor_Layton_and_the_Curious_Village,DS,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
179,Tomb_Raider_II,PS,1997,Action,Eidos_Interactive,2.3,2.46,0.2,0.28,5.24
180,Madden_NFL_2004,PS2,N/A,Sports,Electronic_Arts,4.26,0.26,0.01,0.71,5.23
181,Dragon_Quest_VIII:_Journey_of_the_Cursed_King,PS2,2004,Role-Playing,Square_Enix,0.65,0.75,3.61,0.2,5.21
182,Diablo_III,PC,2012,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
183,Super_Mario_Bros._3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
184,New_Super_Mario_Bros._U,WiiU,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
185,Super_Mario_Land_3:_Wario_Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
186,FIFA_Soccer_13,X360,2012,Action,Electronic_Arts,1.08,3.48,0.03,0.58,5.18
187,The_Legend_of_Zelda:_Phantom_Hourglass,DS,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
188,Donkey_Kong_Country_2:_Diddy's_Kong_Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
189,Tomodachi_Life,3DS,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
190,Mario_&_Sonic_at_the_Olympic_Games,DS,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14
191,Medal_of_Honor:_Rising_Sun,PS2,2003,Shooter,Electronic_Arts,1.98,2.23,0.13,0.8,5.13
192,Kirby's_Dream_Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
193,Fable_III,X360,2010,Role-Playing,Microsoft_Game_Studios,3.59,1.11,0.05,0.38,5.13
194,Call_of_Duty:_Advanced_Warfare,XOne,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
195,Microsoft_Flight_Simulator,PC,1996,Simulation,Microsoft_Game_Studios,3.22,1.69,0,0.2,5.12
196,Guitar_Hero_II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12
197,Resident_Evil_5,PS3,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
198,Grand_Theft_Auto_V,XOne,2014,Action,Take-Two_Interactive,2.66,2.01,0,0.41,5.08
199,Grand_Theft_Auto:_Vice_City_Stories,PSP,2006,Action,Take-Two_Interactive,1.7,2.02,0.16,1.21,5.08
200,FIFA_Soccer_11,PS3,2010,Sports,Electronic_Arts,0.6,3.29,0.06,1.13,5.08
201,Super_Mario_Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07
202,Resident_Evil,PS,1996,Action,Virgin_Interactive,2.05,1.16,1.11,0.73,5.05
203,Tony_Hawk's_Pro_Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
204,Super_Smash_Bros._for_Wii_U_and_3DS,WiiU,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
205,Warzone_2100,PS,1999,Strategy,Eidos_Interactive,2.79,1.89,0,0.33,5.01
206,Spyro_the_Dragon,PS,1998,Platform,Sony_Computer_Entertainment,3.36,1.36,0.07,0.21,5
207,Link's_Crossbow_Training,Wii,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5
208,Guitar_Hero_III:_Legends_of_Rock,PS2,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98
209,Fallout_3,X360,2008,Role-Playing,Bethesda_Softworks,3.39,1.03,0.09,0.44,4.96
